x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0005139048529121126,-0.022094116280275918,-0.001253900587057413,0.0,0.0
0.0,0.0,0.0,0.0,-0.0052916072079790925,-0.009769179534429396,-0.0642962774844202,-0.11551863345701689,-0.03442192474507911,-0.010816539704807726,0.0
0.0,0.0,0.0,0.0,-0.010672782468786023,-0.030320997334822655,-0.13818871715513692,-0.20908908545650942,-0.0783102749469337,-0.022349725206895127,0.0
0.0,0.0,0.0,0.0,-0.018991684641136593,-0.0725460863563278,-0.2355397928735194,-0.28939700630210924,-0.11846189932421296,-0.030503149179723445,0.0
0.0,0.0,0.0,0.0,-0.03568530670179786,-0.14384090370045746,-0.35876926831150124,-0.38523115151307163,-0.17998809669143773,-0.03651075749846687,0.0
0.0,0.0,0.0,0.0,-0.07563790161912508,-0.26441892354631463,-0.5235615762586743,-0.5637581894618889,-0.23863358699868117,-0.05259347367065669,0.0
0.0,0.0,-0.004110611880024671,0.0,-0.10958708829929328,-0.35471054973981764,-0.6718837121975565,-0.6871140908348043,-0.2860003578428515,-0.06211358315744656,0.0
0.0,0.0,-0.0011696991062848739,-0.000604884363075577,-0.1274881950576675,-0.4421343461919578,-0.7692687145140136,-0.7721775888870265,-0.3147133101571866,-0.06117922064974134,0.0
0.0,0.0,-0.007137049901512019,-0.00037447125974393456,-0.14770158836393324,-0.5027274087787789,-0.8808023232276448,-0.8540061435555579,-0.344263719740907,-0.07032332344154762,0.0
