x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
9,9,11,15,18,24,28,26,24,23
9,8,10,19,21,15,11,6,4,7
9,8,9,8,10,8,10,13,14,4
9,1,3,5,7,6,4,3,6,7
9,9,11,9,13,14,14,14,13,11
9,10,12,10,11,12,10,9,10,9
9,11,10,13,14,20,21,20,25,35
9,9,11,16,15,17,23,22,24,33
9,8,9,11,14,14,13,14,14,12
9,9,11,8,10,4,5,6,2,3
9,4,5,7,7,7,5,7,7,4
9,12,10,11,13,11,10,1,4,7
9,10,14,14,12,11,9,10,8,10
9,3,4,6,7,7,5,1,3,3
9,9,10,9,9,19,17,15,17,9
9,8,10,14,14,14,10,8,10,11
9,11,8,9,9,10,12,13,10,8
9,11,6,7,7,4,6,5,4,2
9,3,4,1,4,7,7,6,4,1
9,3,7,6,7,7,7,5,6,7
9,16,23,26,25,26,26,28,35,31
9,11,6,7,5,4,2,3,2,1
9,9,4,3,4,3,4,2,3,7
9,10,11,21,14,21,12,3,4,3
9,10,15,24,22,24,23,24,29,30
9,10,11,15,17,22,23,26,28,21
9,4,5,7,7,4,5,3,6,7
9,13,11,6,3,1,2,2,3,5
9,10,12,14,14,13,12,10,9,8
9,10,10,11,12,10,12,4,3,2
9,10,9,10,9,17,18,12,14,14
9,8,10,1,3,2,5,7,7,7
9,10,12,3,5,7,6,4,1,3
9,11,13,12,14,5,7,5,4,7
9,11,9,4,2,7,7,5,6,7
9,11,13,14,14,11,13,14,14,14
9,11,20,25,26,28,32,34,35,33
9,12,14,5,6,5,7,7,7,7
9,9,2,4,6,7,4,3,2,4
9,8,9,9,11,14,7,6,7,7
9,9,8,9,11,9,10,13,14,14
9,11,8,10,9,11,10,5,7,7
9,12,11,10,2,4,3,4,7,6
9,12,13,11,5,7,4,2,4,5
9,8,3,2,4,7,5,4,3,2
9,12,9,11,14,12,13,14,14,7
9,10,12,11,14,14,14,14,14,14
9,10,11,9,9,9,12,11,7,4
9,10,12,14,11,6,7,5,7,7
9,12,7,7,5,4,4,7,5,3
9,8,10,12,11,10,6,5,7,5
9,11,21,18,14,14,12,6,7,7
9,10,13,14,14,14,13,7,5,4
9,13,8,9,11,13,11,9,5,6
9,9,8,14,13,14,12,11,10,9
9,9,11,14,14,12,14,14,14,13
9,5,4,3,2,1,2,3,2,6
9,11,13,14,11,3,1,3,6,7
9,8,10,9,9,10,11,10,8,14
9,2,2,3,1,3,6,7,7,7
9,9,11,13,12,13,12,10,12,18
9,9,11,20,19,16,17,14,12,10
9,11,12,2,3,5,7,5,4,6
9,10,12,13,12,13,7,7,4,3
9,9,4,2,2,4,2,1,2,2
9,9,3,1,6,4,6,7,7,6
9,18,20,28,28,28,28,33,35,26
9,9,8,13,14,14,12,21,21,19
9,2,4,3,6,7,7,5,3,6
9,3,5,6,5,7,7,7,7,7
9,9,11,13,14,21,21,28,26,31
9,11,14,14,14,11,12,13,12,4
9,9,9,8,10,11,13,21,21,14
9,10,4,3,5,3,5,7,4,6
9,10,9,10,8,12,14,14,11,9
9,11,20,18,9,11,14,14,12,11
9,9,18,15,18,21,26,32,37,38
9,9,18,15,24,22,23,23,26,34
9,9,12,9,13,3,5,7,5,3
9,11,12,14,7,7,1,3,4,1
9,8,10,12,11,8,10,11,3,7
9,11,9,8,21,28,28,18,17,18
9,8,11,16,15,25,28,28,28,28
9,16,22,24,28,28,28,27,28,28
9,18,17,15,17,12,6,4,7,7
9,8,9,11,8,3,4,7,4,3
9,11,8,10,8,11,9,9,9,9
9,8,10,19,13,14,11,12,13,11
9,11,13,11,14,14,13,10,9,8
9,3,2,2,2,5,2,2,1,5
9,1,4,2,3,2,2,5,7,5
9,3,2,1,3,1,4,6,3,5
9,9,10,9,10,18,19,20,21,19
9,9,9,9,9,10,11,9,10,9
9,11,12,9,11,13,14,11,9,11
9,10,8,9,9,9,1,5,7,7
9,10,9,3,2,3,2,3,4,6
9,12,10,14,13,11,13,10,8,13
9,4,2,4,5,2,3,2,2,4
9,9,3,5,4,3,1,6,3,1
9,6,7,5,7,7,4,3,1,2
9,16,24,25,26,25,24,26,24,29
9,15,18,9,10,8,19,21,18,9
9,10,9,10,8,12,13,14,6,7
9,1,3,4,3,2,5,7,3,6
9,9,2,3,4,2,2,1,4,6
9,10,12,14,4,2,2,2,4,2
9,11,12,16,16,16,16,21,19,23
9,1,2,3,4,2,3,2,2,5
9,2,5,7,6,2,1,4,2,5
9,8,10,13,11,14,21,19,17,16
9,11,9,10,11,8,10,11,6,7
9,12,13,14,14,13,14,12,14,12
9,9,21,21,21,19,17,19,14,14
9,9,11,9,11,3,5,3,6,5
9,9,11,9,11,1,2,5,3,5
9,2,2,3,3,2,7,5,6,2
9,12,13,4,3,2,2,3,5,7
9,11,13,7,4,1,2,3,4,3
9,9,8,10,5,7,6,7,3,6
9,15,19,9,11,10,11,8,10,18
9,8,10,12,9,10,11,13,14,14
9,11,7,7,7,4,1,4,1,4
9,11,14,14,14,14,13,14,20,14
9,1,2,3,5,2,3,1,4,5
9,10,9,11,14,14,12,10,19,13
9,12,14,5,4,6,3,4,5,4
9,11,9,11,7,7,5,6,3,2
9,15,23,33,35,33,34,33,35,35
9,2,4,6,3,6,4,3,4,2
9,12,10,12,7,5,3,1,3,1
9,9,9,11,9,13,14,14,14,14
9,10,12,14,12,9,5,4,6,7
9,7,7,6,7,6,4,6,7,7
9,8,11,9,11,12,10,8,13,11
9,5,3,5,7,7,7,7,6,2
9,8,11,12,10,12,14,14,13,12
9,9,3,7,4,6,3,3,5,7
9,11,14,14,5,3,2,2,7,7
9,4,2,2,3,5,3,4,5,7
9,9,10,8,9,10,12,13,12,7
9,8,11,8,12,14,20,26,24,35
9,11,9,10,8,9,11,9,10,2
9,10,2,2,4,2,3,1,2,4
9,11,14,12,13,4,2,4,5,6
9,8,10,8,11,14,14,19,28,26
9,13,14,14,14,12,10,8,10,13
9,9,1,4,3,6,7,7,7,5
9,10,2,5,4,2,3,5,7,7
9,10,14,13,14,13,11,14,19,21
9,12,13,10,13,12,7,7,7,7
9,11,9,10,8,11,13,12,14,14
9,11,14,12,10,9,5,3,1,2
9,11,10,8,10,16,17,27,28,27
9,6,7,7,6,7,5,4,7,6
