x1,x2,x3,x4,x5,x6
1.0,0.0,0.0,0.0,0.0,0.0
0.11,0.83,0.06,0.0,0.0,0.0
0.0,0.15,0.6,0.25,0.0,0.0
0.0,0.0,0.04,0.68,0.28,0.0
0.0,0.0,0.0,0.18,0.79,0.03
0.0,0.0,0.0,0.0,0.5,0.5
