x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0,19.20072597,24.58944207,188.6859636,0,0,0,0,0,0.25,1
0,20.00628236,25.9635176,183.138518,0,0,0,0,0,0.275,2
0,0,0,0,0,0,0,0,0,0.3,0
0,21.49196037,26.22260889,176.0346607,0,0,0,0,0,0.325,4
0,21.91739646,26.37920598,172.6410992,0,0,0,0,0,0.35,5
0,22.30546703,26.55277468,170.502477,0,0,0,0,0,0.375,6
0,0,0,0,0,0,0,0,0,0.4,0
140.2930428,11.85734548,22.23205024,80.24678142,0,0,0,0,0,0.425,8
154.7851834,11.00018174,21.92779741,73.0148745,0,0,0,0,0,0.45,9
159.0698031,10.87095814,21.72130871,70.87729324,0,0,0,0,0,0.475,10
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
