x1,x2,x3,x4,x5
0.0,0.0,13.224273456560917,35.47183374727677,0.0
0.0,0.09239809772469543,0.3825947271025942,0.0,0.0
0.0,0.6064600685009917,0.9820627495045756,0.0,0.0
4.1083841624077815,4.3930705401379075,3.1907429100255396,0.0,0.0
7.037710354746922,7.154400952355628,4.984284454418106,0.0,0.0
9.287287862919756,9.328253553344283,6.62062808794202,0.0,0.0
11.576762593891875,11.464597495579822,7.898681930586423,0.0,0.0
15.740267102657052,14.87981387462291,9.705968294712513,0.0,0.0
18.76328107294583,17.556260554196726,11.356512748954298,0.0,0.0
22.655436886375696,20.759858485907007,12.982910190736291,0.0,0.0
